id,name,popularity
1eIYP01ZLPKEExhcV6xFgt,Grelo,73
0JRPF8WIKUtSO2IUYfrcuh,Kaique e Felipe,64
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,80
0BHm7qbh3ENxvXzkQAG7MP,Mari Fernandez,76
0FMBXfGasuAjdpsCs7zgju,Traia Véia,71
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,72
7gHzR22tDNSWGS4HkvvPgw,THE BOX,68
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,70
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,80
7u9115faVQY8xNrCXqY0zx,dj sv,67
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,79
2eK9gcJQ6uqVvJL63dnOM3,Simone Mendes,78
7l8ESevPECrqChwl3Bf7ov,Lou Garcia,65
7gZu6kPnY9enEi5FvgTO4F,Felipe e Rodrigo,71
597XBqZtaiZC7laCNx3nVz,Yasmin Santos,66
4PzYKhC14sTJNEr0dzoo0d,Luísa Sonza,76
70jpkgy5oGT4YjaGFpCpk7,MC LUUKY,72
6Wlvsn3IPHiZwAv02lB5eC,Ícaro e Gilmar,72
5IREutgMnyQqRcc8r15gWk,CountryBeat,69
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,80
1oSPZhvZMIrWW5I41kPkkY,Jimin,89
2h5Ha0ZiMFmOQD3iYcSXsy,KayBlack,78
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,77
1SXhEXzOTF7YeuQX59m7pT,NATTAN,75
2CKOmarVWvWqkNWUatHCex,Ana Castela,81
0CdnnCbbKD4oIzBmxi2o7r,Manu,73
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,86
6TYimByryGphZCtwYopH0y,Lauana Prado,77
3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,78
7rXMvXRnWHaSwnVvPeUUfw,Gloria Groove,72
0vsVZPe7ziQLQ3eqwUTc4H,Day e Lara,65
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,84
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,95
34kJWuUS4hNN1MkqiIG0dS,Dj Luan Gomes,72
3MrDVzg7ZXaYMyQmbDInr7,WIU,76
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,78
